ED_ID,Electoral Division Name (English),GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,ESRI_OID,Shape__Area,Shape__Length
267122,SHANKILL-SHANGANAGH,Seanchill-Seangánach,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e19-13a3-e055-000000000001,725955.29,720823.16,2977420.17,2330,2977420.17,8105.839986
267060,DALKEY HILL,Cnoc Dheilginse,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d1d-13a3-e055-000000000001,726517.45,726135.94,1212966.29,2395,1212966.288,5690.181909
268080,INNS QUAY A,Cé na nÓstaí A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d88-13a3-e055-000000000001,715429.26,735922.9,317296.19,2399,317296.1904,2559.830102
268043,CLONTARF EAST C,Cluain Tarbh Thoir C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d45-13a3-e055-000000000001,719650.95,736419.5,827774.66,2409,827774.664,4195.820707
267064,DALKEY-COLIEMORE,Deilginis-An Choill Mhór,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d37-13a3-e055-000000000001,726777.37,726840.26,497034.26,2429,497034.2625,4375.230557
267010,BALLINTEER-MARLEY,Baile an tSaoir-Marlaigh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e27-13a3-e055-000000000001,715364.22,726583.5,1326307.75,2430,1326307.746,6400.164665
268055,CRUMLIN E,Cromghlinn E,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d62-13a3-e055-000000000001,712095.07,732382.1,377031.01,2459,377031.0071,2807.895966
267077,DUN LAOGHAIRE-WEST CENTRAL,Dún Laoghaire Láir Thiar,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d59-13a3-e055-000000000001,724083.44,728671.87,474487.67,2469,474487.6657,4543.844456
267028,BLANCHARDSTOWN-BLAKESTOWN,Baile Bhlainséir-Baile an Bhlácaigh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cc6-13a3-e055-000000000001,704404.81,739450.32,7873486.98,2473,7873486.98,14126.12753
267020,BLACKROCK-CARYSFORT,An Charraig Dhubh-Dún Carúin,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cbe-13a3-e055-000000000001,721054.99,727721.38,1305633.78,2476,1305633.78,5198.016282
267118,RUSH,An Ros,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e15-13a3-e055-000000000001,725905.96,754515.83,6770909.71,2478,6770909.711,15265.21856
267036,CABINTEELY-GRANITEFIELD,Cábán tSíle-Gort an Eibhir,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ce1-13a3-e055-000000000001,724007.55,725513.27,570424.52,2490,570424.5209,3300.744062
268112,PEMBROKE EAST C,Peambróg Thoir C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1db8-13a3-e055-000000000001,719261.06,731776.66,876969.17,2494,876969.1681,5833.735438
268064,FINGLAS NORTH B,Fionnghlas Thuaidh B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d6b-13a3-e055-000000000001,712689.49,739451,648699.4,2506,648699.4045,3483.137402
267074,DUN LAOGHAIRE-SALLYNOGGIN WEST,Dún Laoghaire-An Naigín Thiar,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d41-13a3-e055-000000000001,723568.83,727094.21,613421.36,2522,613421.3578,3519.563654
268077,HARMONSTOWN B,Baile Hearman B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d85-13a3-e055-000000000001,720392.19,738266.98,575426.26,2525,575426.2604,3791.184712
267110,PORTMARNOCK NORTH,Port Mearnóg Thuaidh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1de5-13a3-e055-000000000001,724222.31,744249.04,1042973.15,2540,1042973.146,5378.318241
267117,RATHFARNHAM VILLAGE,Ráth Fearnáin (Sráidbhaile),Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e04-13a3-e055-000000000001,714665.8,729116.07,781416.4,2547,781416.3981,4764.944214
267089,FOXROCK-DEANS GRANGE,Carraig an tSionnaigh-Gráinseach an Déin,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d7b-13a3-e055-000000000001,721745.62,726941.88,1009511.79,2553,1009511.787,4125.361218
267042,CHURCHTOWN-CASTLE,Baile an Teampaill-An Caisleán,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cf7-13a3-e055-000000000001,715346.6,728709.53,848653.96,2562,848653.9554,4640.624475
267147,TALLAGHT-SPRINGFIELD,Tamhlacht-Achadh an Tobair,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ccf-13a3-e055-000000000001,708019.74,727954.21,2096146.32,2577,2096146.315,6758.983757
267049,CLONDALKIN-DUNAWLEY,Cluain Dolcáin-Dún Amhlaoibh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cfe-13a3-e055-000000000001,704726.78,731598.34,4742358.79,2582,4742358.79,10613.17603
268047,CLONTARF WEST B,Cluain Tarbh Thiar B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d49-13a3-e055-000000000001,718875.71,737586.01,394917.95,2591,394917.9512,3146.089695
267125,STILLORGAN-KILMACUD,Stigh Lorgan-Cill Mochuda,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ca1-13a3-e055-000000000001,718858.44,727503.15,917870.04,2612,917870.0436,4067.676791
268038,CHERRY ORCHARD A,Gort na Silíní A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d30-13a3-e055-000000000001,707970.95,733351.22,981590.44,2620,981590.4448,4389.092709
268019,BALLYMUN E,Baile Munna E,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d0f-13a3-e055-000000000001,714941.07,739427.02,354460.04,2633,354460.044,2887.249675
268102,MERCHANTS QUAY E,Cé na gCeannaithe E,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1da5-13a3-e055-000000000001,714634.24,732764.6,227057.46,2671,227057.4624,2250.558011
268005,ARRAN QUAY E,Cé Árann E,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cef-13a3-e055-000000000001,713990.78,735056.78,264397.57,2672,264397.5739,2590.024527
267019,BLACKROCK-BOOTERSTOWN,An Charraig Dhubh-Baile an Bhóthair,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e38-13a3-e055-000000000001,719840.84,729935.29,790976.08,2677,790976.0757,4260.858527
267030,BLANCHARDSTOWN-CORDUFF,Baile Bhlainséir-An Chorr Dhubh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cc8-13a3-e055-000000000001,708075.32,740101.62,1448681.67,2681,1448681.668,5976.929734
268110,PEMBROKE EAST A,Peambróg Thoir A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1db6-13a3-e055-000000000001,720484.82,733606.35,2143076.67,2695,2143076.667,14749.38224
